index,date,year,month,day,text,multi_labels,hier_label
88230,2022-03-28 15:59:56,2022,3,28,Музыкальный фестиваль Park Live перенесен на 2023,['Культура'],"['Культура', 'Музыка']"
60779,2021-08-20 17:59:04,2021,8,20,"Путин заявил, что РФ готова после 2024 г осуществлять транзит газа через Украину, объем и сроки контрактов будут зависеть от потребностей ЕС","['Экономика', 'Политика', 'Международные отношения']","['Экономика', 'Энергетика']"
61944,2021-09-02 12:38:08,2021,9,2,"Итальянское Хотя в группе 4 хоббита, волшебник, эльф, гном и 2 людей, руководит ими и несет кольцо - вопреки традиции - не Фродо, а Сэм. Он рассказал РИА Новости, что в обычной жизни зовется Николас Джентиле и работает пекарем-кондитером.

Кто-то из участников экспедиции – банковский клерк, кто-то зарабатывает SMM, иной – рабочий, кто-то учится в университете. Кольцо они несут через полстраны.","['Общество', 'Культура']","['Общество', 'События']"
127336,2023-09-05 16:41:44,2023,9,5,"Инициатива о запрете меховой индустрии за один день набрала в Финляндии необходимые 50 тысяч голосов, теперь ее рассмотрит парламент.

В прошлом месяце в стране выступили с идеей закрепить в конституции права животных, она также поступила в парламент и ждет голосования.","['Политика', 'Общество', 'Международные отношения']","['Политика', 'Законодательство']"
71221,2021-11-29 11:47:05,2021,11,29,"13 заражений штаммом ""омикрон"" обнаружили в португальской футбольной команде ""Белененсеш"".

В субботу ""Белененсеш"" вышел на матч против ""Бенфики"" вдевятером. Во втором тайме (счет к тому моменту был уже 0:7 в пользу ""Бенфики"") на поле появились уже всего 7 игроков.

После травмы одного из них матч остановили (вшестером уже нельзя играть по правилам).","['Спорт', 'Общество']","['Спорт', 'Футбол']"
52319,2021-06-09 09:51:01,2021,6,9,"Комментатор телеканал ""Матч ТВ"" Нобель Арустамян не получил аккредитацию на Евро-2020. Для работы на турнире, который пройдет в 11 городах разных стран, журналисты должны получить одобрение всех оргкомитетов стран-хозяек. Такого одобрения нет от оргкомитета Баку.

В Ассоциации футбольных федераций Азербайджана этот отказ связали с тем, что журналист «неоднократно совершал незаконные поездки на оккупированные азербайджанские земли» без разрешения властей страны, «проявив неуважение к территориальной целостности».

Генеральный продюсер ""Матч ТВ"" Тина Канделаки назвала ситуацию ""нарушением духа международного спортивного движения"", отметив, что телеканал делает все возможное, чтобы разрешить эту ситуацию.","['Спорт', 'Политика', 'Международные отношения']","['Спорт', 'Футбол']"
98448,2022-07-16 09:56:04,2022,7,16,"Шойгу проинспектировал российские группировки войск  ""Юг"" и ""Центр"", выполняющие задачи специальной военной операции на Украине","['Политика', 'Международные отношения', 'Происшествия']","['Политика', 'Военные действия']"
35758,2021-01-07 00:56:08,2021,1,7,"Пенс поставил на заставку своего личного Twitter фото Байдена с Харрис, но от Трампа не отписался","['Политика', 'Международные отношения']","['Политика', 'Внутренняя политика США']"
16068,2020-06-03 13:21:13,2020,6,3,"Кремль надеется, что компетентные ведомства примут меры к ""Здесь можно выразить только крайнее сожаление в связи с тем, что такая игра доступна на территории нашей страны. И доступна тем более сейчас, в год, когда мы отмечаем 75-летие Победы. Потому что, конечно, эта игра, с нашей точки зрения, не что иное, как просто пропаганда нацизма. Что недопустимо""","['Политика', 'Общество', 'Культура']","['Политика', 'Внутренняя политика']"
62545,2021-09-08 10:58:13,2021,9,8,Горячая линия по взрыву в Ногинске +7 495 542 21 41,"['Происшествия', 'Региональные новости']","['Происшествия', 'Чрезвычайные ситуации']"
4151,2020-03-18 17:39:04,2020,3,18,"Путин подписал закон о корректировке параметров бюджета Пенсионного фонда РФ, который предусматривает увеличение расходов на выплату маткапитала","['Политика', 'Экономика', 'Общество']","['Политика', 'Законодательство']"
53725,2021-06-20 19:46:41,2021,6,20,"▪️ цель теперь - восстанавливать диалоговые механизмы

▪️ российские дипломаты готовы выправить отношения

▪️ планы США по новым санкциям против России - не тот сигнал, который был получен после саммита Путин-Байден, печально, что коллеги выбирают путь, который не ведет к положительному результату

▪️ визовый вопрос - это проблема, по которой нужно садиться и вести диалог, но только на равноправной основе","['Международные отношения', 'Политика']","['Международные отношения', 'Дипломатия']"
