index,date,year,month,day,text,multi_labels,hier_label
0,2020-01-01 00:32:53,2020,1,1,"Трамп вновь пригрозил последствиями Ирану, если кто-то из американцев в Ираке пострадает от нападений: «Иран понесет полную ответственность за гибель людей или ущерб, причиненный какому-либо из наших объектов. Они заплатят очень большую цену! Это не предупреждение, а угроза. Счастливого нового года!»

Ранее протестующие проникли за внешний периметр ограды посольства США в Багдаде. США обвинили в нападении власти Ирана, Тегеран это отрицает.",Политика; Международные отношения,Политика/Внешняя политика
1,2020-01-01 00:54:16,2020,1,1,"Ким Чен Ын пообещал скоро представить новое стратегическое оружие КНДР и заявил, что будет продолжать разработку стратегического оружия, пока враждебная политика США не будет устранена",Политика; Международные отношения,Политика/Внешняя политика
2,2020-01-01 12:44:25,2020,1,1,"В России почти 6,5 миллиона человек встретили Новый год, участвуя в праздничных мероприятиях, сообщило МВД РФ. Нарушений правопорядка не допущено. В МВД добавили, что общественный порядок охраняли около 67,4 тысячи полицейских.",Общество; Происшествия,Общество/Праздники
3,2020-01-01 12:55:30,2020,1,1,"Столкновения произошли в Гонконге во время согласованной акции, полиция применила слезоточивый газ для разгона протестующих, сообщает газета South China Morning Post.",Происшествия; Международные отношения,Происшествия/Конфликты
4,2020-01-01 15:20:14,2020,1,1,"Папа Римский Франциск извинился за то, что накануне отшлепал по руке одну не в меру активную паломницу.

Во вторник вечером женщина не на шутку рассердила папу Франциска, который вышел на площадь Святого Петра в Ватикане, чтобы полюбоваться установленными там под елью рождественскими яслями и поприветствовать верующих. Понтифик по обычаю пожимал присутствующим руки и уже собирался вернуться в папские покои, когда паломница неожиданно схватила его за правую руку и бесцеремонно потянула ее к себе.

",Общество; Происшествия; Религия,Общество/Религия
5,2020-01-01 15:45:51,2020,1,1,"Более 75,5 тысяч пассажиров встретили Новый год в поездах дальнего следования, сообщила ""Федеральная пассажирская компания""",Транспорт; Общество,Транспорт/Ж/д
6,2020-01-01 17:12:14,2020,1,1,"В России в ночь на 1 января , сообщает «Столото». Теперь счастливчика ждут для оформления выигрыша. Пока известно лишь то, что билет был куплен в Москве.",Экономика; Общество,Экономика/Бизнес
7,2020-01-01 19:38:39,2020,1,1,"Украинские силовики заявили, что в новом году , ранен военный.

Несмотря на то что ""нормандские лидеры"" призывали до конца 2019 года обеспечить прекращение огня.",Политика; Происшествия; Международные отношения,Политика/Внутренняя политика
8,2020-01-02 00:51:53,2020,1,2,"Экс-глава Национальной баскетбольной ассоциации Дэвид Стерн скончался в среду в возрасте 77 лет.

Спортивный менеджер встал у руля NBA в 1984 году и возглавлял ее три десятка лет, сделав одной из самых богатых спортивных лиг в мире - третьей в Северной Америке после NFL (американский футбол) и MLB (бейсбол). В декабре Стерн был госпитализирован из-за кровоизлияния в мозг.",Спорт; Международные отношения,Спорт/Баскетбол
9,2020-01-02 03:52:11,2020,1,2,"МЧС хочет  из зон чрезвычайных ситуаций при соответствующем решении властей.

В законопроекте, в частности, предусмотрены ""возможность принудительной эвакуации населения из зон ЧС"" и ""введение ответственности за несвоевременное представление информации о ЧС"".",Происшествия; Политика,Происшествия/Законы
10,2020-01-02 16:59:24,2020,1,2,"Молодежная сборная России по хоккею обыграла команду Швейцарии и вышла в полуфинал чемпионата мира, который проходит в Чехии",Спорт; Международные отношения,Спорт/Хоккей
11,2020-01-02 22:19:18,2020,1,2,"❗️Военный самолет Ан-12 разбился на западе Судана, погибли 15 человек. По предварительным данным, на борту были местные чиновники.

UPD Есть данные, что среди погибших трое местных судей и сотрудник Всемирной продовольственной организации ООН.

Суданские власти подтвердили гибель 11 человек.",Происшествия; Международные отношения,Происшествия/Катастрофы
12,2020-01-02 22:36:29,2020,1,2,"Формирующие правительство Испании социалисты согласились начать переговоры по Каталонии, итоги которых вынесут на голосование граждан.

Это часть сделки социалистов с каталонскими левыми республиканцами, требующими независимости региона. Республиканцы со своей стороны согласились не мешать утверждению Санчеса - лидера социалистов - на пост премьера Испании (голосование ожидается в ближайшие дни). Их голоса - всё, что отделяло Санчеса от премьерского кресла.

Попытку каталонцев проголосовать по статусу региона в 2017 году конституционный суд Испании счел незаконной.",Политика; Международные отношения,Политика/Внутренняя политика
13,2020-01-02 23:12:56,2020,1,2,"Греция, Израиль и Кипр подписали соглашение о , по которой  будут качать .

Ожидается, что газопровод заработает в 2024-2025. Проектная мощность – 10 млрд кубов в год, но может вырасти до 20 млрд.

От морских месторождений труба пойдет на Кипр, потом Крит и материковая Греция, а оттуда – через Италию и Болгарию дальше в Европу. В поддержку проекта ранее высказались США.

Форсировать проект предложил Нетаньяху, после того как Турция подписала с триполийским правительством Ливии соглашение о разграничении морских зон. Греция считает, что это соглашение нарушает ее права.",Экономика; Международные отношения,Экономика/Энергетика
14,2020-01-03 01:28:02,2020,1,3,"❗️Ракеты взрываются у международного аэропорта Багдада, звучит сигнал тревоги.

UPD Аэропорт закрыт, полеты остановлены. Наш источник сообщает, что ракеты приземлились у военных объектов Ирака и международной коалиции возле аэропорта.

Есть жертвы. Пострадали 12 иракских военных.

Связано ли это как-то с недавней атакой на американское посольство - пока неясно.",Происшествия; Международные отношения,Происшествия/Конфликты
15,2020-01-03 02:10:59,2020,1,3,"Местное ТВ публикует видео с места ракетной атаки у багдадского аэропорта. Сообщается, что одна из запущенных ракет попала в гражданский внедорожник, машина сгорела, водитель погиб.",Происшествия; Международные отношения,Происшествия/Конфликты
16,2020-01-03 03:45:55,2020,1,3,"Россия добыла по итогам 2019 года  560,2 млн тонн .

Это 11,246 млн баррелей в сутки. На графике Блумберг видно, что до  (11,416 млн, голубой пунктир) осталось совсем немного.

Рост шел, несмотря на участие России в сделке ОПЕК+, которая предусматривает сокращение добычи.",Экономика; Политика,Экономика/Энергетика
17,2020-01-03 04:09:11,2020,1,3,"⚡️Глава спецподразделения ""Кудс"" иранского Корпуса стражей исламской революции при ударах по Багдаду - ""Аль-Арабия"" и Sky News",Международные отношения; Происшествия,Международные отношения/Конфликты
18,2020-01-03 04:18:57,2020,1,3,"❗️, в которых - по первым данным - погибли иранский генерал Сулеймани и лидеры штурмовавшего посольство ополчения",Международные отношения; Происшествия,Международные отношения/Конфликты
19,2020-01-03 04:34:17,2020,1,3,"Местные СМИ публикуют фото с места , в одной из них погиб иранский генерал Сулеймани.",Международные отношения; Происшествия,Международные отношения/Конфликты
20,2020-01-03 04:43:51,2020,1,3,❗️Замглавы иракского шиитского ополчения Абу Махди аль-Мухандис убит при американских ракетных ударах в Багдаде. Именно его Помпео обвинил в нападении на американское посольство.,Международные отношения; Происшествия,Международные отношения/Конфликты
21,2020-01-03 05:28:36,2020,1,3,"Иракские силовики взяли в кольцо ""зеленую зону"" Багдада, где расположено посольство США, чтобы после убийства иранского генерала и шиитского лидера защитить его от возможных провокаций",Международные отношения; Происшествия,Международные отношения/Конфликты
22,2020-01-03 05:31:11,2020,1,3,"Американский предупреждает, что убийством ""второго человека в иранской власти"" генерала Сулеймани",Международные отношения; Политика,Международные отношения/Политика
23,2020-01-03 05:34:40,2020,1,3,⚡️гибель главы спецподразделения КСИР генерала Сулеймани,Международные отношения; Происшествия,Международные отношения/Конфликты
24,2020-01-03 05:37:13,2020,1,3,"Первый твит Трампа после убийства иранского генерала Сулеймани. До этого Трамп молчал 12 часов.

Для него это нехарактерно, и в прошлом такое молчание совпадало с военными операциями за рубежом и необъявленными визитами Трампа в горячие точки.",Политика; Международные отношения,Политика/Внутренняя политика
